"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS code"
"YEAR","Year"
"RCPTOT","Sales, value of shipments, or revenue ($1,000)"
"RCPTOT_S","Relative standard error for estimate of sales, value of shipments, or revenue (%)"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_S","Relative standard error for estimate of annual payroll (%)"
"EMP","Number of employees"
"EMP_S","Relative standard error for estimate of number of employees (%)"
"EMPQ1PW","Production workers for pay period including March 12"
"EMPQ1PW_S","Relative standard error for estimate of production workers for pay period including March 12 (%)"
"HOURS","Production workers annual hours (1,000)"
"HOURS_S","Relative standard error for estimate of production workers annual hours (%)"
"PAYANPW","Production workers annual wages ($1,000)"
"PAYANPW_S","Relative standard error for estimate of production workers annual wages (%)"
"CSTMTOT","Total cost of materials ($1,000)"
"CSTMTOT_S","Relative standard error for estimate of total cost of materials  (%)"
"VALADD","Value added ($1,000)"
"VALADD_S","Relative standard error for estimate of value added (%)"
"INVTOTB","Total inventories, beginning of year ($1,000)"
"INVTOTB_S","Relative standard error for estimate of total inventories, beginning of year (%)"
"INVFINB","Finished goods inventories, beginning of year ($1,000)"
"INVFINB_S","Relative standard error for estimate of finished goods inventories, beginning of year (%)"
"INVWIPB","Work-in-process inventories, beginning of year ($1,000)"
"INVWIPB_S","Relative standard error for estimate of work-in-process inventories, beginning of year (%)"
"INVMATB","Materials and supplies inventories, beginning of year ($1,000)"
"INVMATB_S","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)"
"INVTOTE","Total inventories, end of year ($1,000)"
"INVTOTE_S","Relative standard error for estimate of total inventories, end of year (%)"
"INVFINE","Finished goods inventories, end of year ($1,000)"
"INVFINE_S","Relative standard error for estimate of finished goods inventories, end of year (%)"
"INVWIPE","Work-in-process inventories, end of year ($1,000)"
"INVWIPE_S","Relative standard error for estimate of work-in-process inventories, end of year (%)"
"INVMATE","Materials and supplies inventories, end of year ($1,000)"
"INVMATE_S","Relative standard error for estimate of materials and supplies inventories, end of year  (%)"
"RCPTOT_IMP","Range indicating imputed percent of total sales, value of shipments, or revenue"
"PAYANN_IMP","Range indicating imputed percent of total annual payroll"
"EMP_IMP","Range indicating imputed percent of total employees"
