"Average annual wages"
"US dollars, PPP converted, 2024"
"Category","US dollars, PPP converted"
"Luxembourg",94446.74
"Iceland",89946.906
"Switzerland",87468.235
"United States",82932.937
"Belgium",76108.816
"Austria",75767.15
"Netherlands",75370.097
"Norway",74863.73
"Denmark",74021.697
"Australia",70736.187
"Germany",69433.062
"Canada",69417.073
"United Kingdom",63690.773
"New Zealand",62436.576
"Slovenia",61776.28
"OECD",61146.947
"France",60608.014
"Ireland",60430.786
"Sweden",60415.321
"Finland",59596.576
"Israel",54736.243
"Spain",54564.408
"Lithuania",52897.636
"Italy",51018.982
"Korea",50946.72
"Japan",49445.911
"Latvia",45566.516
"Poland",44210.61
"Portugal",40002.449
"Estonia",38974.828
"Czechia",38488.506
"Slovak Rep.",36105.364
"Hungary",34995.811
"Greece",32257.112
"Mexico",20422.85
